Time (s),Heave Velocity (m/s)
1.286193519,-0.1299439746
1.286193519,-0.1326670157
1.290944599,-0.1605781874
1.286193519,-0.1639819888
1.286193519,-0.16670503
1.314699999,-0.1360708171
1.300446759,-0.138113098
1.314699999,-0.1701088314
1.314699999,-0.1728318725
1.314699999,-0.1755549137
1.314699999,-0.1782779548
1.314699999,-0.1810009959
1.314699999,-0.1837240371
1.34320648,-0.1598974271
1.34320648,-0.1626204682
1.34320648,-0.1653435094
1.34320648,-0.1680665505
1.347957561,-0.1864470782
1.34320648,-0.1898508796
1.34320648,-0.1925739208
1.376464041,-0.1714703519
1.371712961,-0.1748741534
1.371712961,-0.1775971945
1.371712961,-0.1803202357
1.371712961,-0.1830432768
1.400219442,-0.1864470782
1.400219442,-0.1891701194
1.400219442,-0.1918931605
1.400219442,-0.1939354414
1.400219442,-0.2164005308
1.400219442,-0.2191235719
1.400219442,-0.221846613
1.400219442,-0.2245696542
1.400219442,-0.2269523152
1.433477003,-0.2300157365
1.428725923,-0.2334195379
1.428725923,-0.236142579
1.428725923,-0.2388656202
1.414472683,-0.2402271407
1.457232404,-0.2157197705
1.457232404,-0.2184428116
1.457232404,-0.2211658528
1.457232404,-0.2238888939
1.457232404,-0.226611935
1.461983484,-0.2422694216
1.457232404,-0.245673223
1.457232404,-0.2483962642
1.442979163,-0.2497577847
1.485738885,-0.2300157365
1.485738885,-0.2327387776
1.485738885,-0.2354618188
1.485738885,-0.2381848599
1.514245366,-0.2415886613
1.514245366,-0.2443117025
1.514245366,-0.2470347436
1.514245366,-0.2494174046
1.514245366,-0.2708613536
1.542751847,-0.2735843947
1.542751847,-0.2763074359
1.542751847,-0.279030477
1.542751847,-0.281413138
1.571258328,-0.2708613536
1.571258328,-0.2844765593
1.571258328,-0.2871996004
1.571258328,-0.2895822614
1.599764808,-0.274265155
1.599764808,-0.2769881961
1.599764808,-0.2797112373
1.599764808,-0.2824342784
1.604515889,-0.2926456827
1.585511568,-0.2946879636
1.628271289,-0.2858380798
1.628271289,-0.288561121
1.628271289,-0.2967302444
1.64252453,-0.2831150387
1.65677777,-0.2912841621
1.65677777,-0.2940072033
1.65677777,-0.2994532856
1.65677777,-0.3018359466
1.685284251,-0.2967302444
1.685284251,-0.3042186075
1.718541812,-0.2994532856
1.713790732,-0.302857087
1.832567736,-0.2867457602
1.861074217,-0.2776689564
1.856323136,-0.2810727579
1.856323136,-0.283795799
1.889580697,-0.2681383124
1.884829617,-0.2715421139
1.884829617,-0.274265155
1.889580697,-0.2869726803
1.918087178,-0.2558846273
1.913336098,-0.2592884287
1.913336098,-0.2620114699
1.913336098,-0.264734511
1.918087178,-0.2776689564
1.913336098,-0.2810727579
1.913336098,-0.283795799
1.941842579,-0.2681383124
1.941842579,-0.2708613536
1.941842579,-0.2735843947
1.927589339,-0.2865188401
1.97034906,-0.2259311748
1.97034906,-0.2286542159
1.97034906,-0.231377257
1.97034906,-0.2545231067
1.97034906,-0.2572461479
1.97034906,-0.259969189
1.97034906,-0.2626922302
1.97034906,-0.2654152713
1.95609582,-0.2763074359
1.95609582,-0.279030477
1.998855541,-0.2085717875
2.003606621,-0.2123159691
1.998855541,-0.2157197705
1.998855541,-0.2184428116
1.998855541,-0.2211658528
1.998855541,-0.2238888939
1.998855541,-0.2330791578
1.9846023,-0.2681383124
2.027362022,-0.2000622839
2.027362022,-0.2027853251
2.027362022,-0.2055083662
2.027362022,-0.2272926953
2.027362022,-0.2300157365
2.013108781,-0.2558846273
2.013108781,-0.2579269082
2.013108781,-0.2620114699
2.055868503,-0.2082314073
2.055868503,-0.2109544485
2.055868503,-0.2136774896
2.055868503,-0.2164005308
2.055868503,-0.2191235719
2.055868503,-0.221846613
2.055868503,-0.2245696542
2.041615262,-0.2327387776
2.089126064,-0.1551321051
2.084374984,-0.1592166668
2.084374984,-0.161939708
2.084374984,-0.1646627491
2.084374984,-0.1673857902
2.084374984,-0.1701088314
2.084374984,-0.1728318725
2.084374984,-0.1755549137
2.084374984,-0.2000622839
2.084374984,-0.2027853251
2.084374984,-0.2055083662
2.070121743,-0.2272926953
2.070121743,-0.2300157365
2.117632545,-0.1456014611
2.112881464,-0.1490052625
2.112881464,-0.1517283037
2.112881464,-0.1772568144
2.098628224,-0.2082314073
2.098628224,-0.2109544485
2.098628224,-0.2136774896
2.141387945,-0.1115634469
2.141387945,-0.114286488
2.141387945,-0.1170095291
2.141387945,-0.1197325703
2.146139026,-0.1551321051
2.141387945,-0.1585359065
2.141387945,-0.1612589477
2.141387945,-0.1639819888
2.141387945,-0.16670503
2.141387945,-0.1694280711
2.141387945,-0.1721511122
2.141387945,-0.1748741534
2.174645506,-0.08977911773
2.169894426,-0.09318291916
2.169894426,-0.0959059603
2.169894426,-0.09862900144
2.169894426,-0.1013520426
2.169894426,-0.1040750837
2.169894426,-0.1067981249
2.169894426,-0.109521166
2.169894426,-0.121434471
2.169894426,-0.1435591803
2.169894426,-0.1462822214
2.169894426,-0.1490052625
2.169894426,-0.1517283037
2.198400907,-0.1129249674
2.198400907,-0.1156480086
2.198400907,-0.1183710497
2.184147667,-0.1551321051
2.184147667,-0.1578551462
2.226907388,-0.04212589778
2.226907388,-0.04484893892
2.226907388,-0.04757198006
2.226907388,-0.0502950212
2.226907388,-0.05301806234
2.226907388,-0.05574110348
2.226907388,-0.05846414462
2.226907388,-0.06118718576
2.226907388,-0.0639102269
2.226907388,-0.06663326804
2.226907388,-0.08841759716
2.226907388,-0.0911406383
2.226907388,-0.09386367945
2.226907388,-0.09658672059
2.226907388,-0.09930976173
2.226907388,-0.1020328029
2.226907388,-0.104755844
2.226907388,-0.1074788851
2.226907388,-0.1102019263
2.212654148,-0.1210940909
2.260164949,-0.03395677435
2.255413869,-0.03736057578
2.255413869,-0.04008361692
2.241160629,-0.1129249674
2.241160629,-0.1156480086
2.28392035,0.008250363323
2.28392035,0.005527322182
2.28392035,0.002804281042
2.28392035,0.00008123990143
2.28392035,-0.002641801239
2.28392035,-0.00536484238
2.28392035,-0.00808788352
2.28392035,-0.01013016438
2.28392035,-0.04348741835
2.28392035,-0.04621045949
2.28392035,-0.04893350063
2.28392035,-0.05165654177
2.28392035,-0.05437958291
2.28392035,-0.05710262405
2.28392035,-0.05982566519
2.28392035,-0.06254870633
2.28392035,-0.06527174747
2.269667109,-0.06731402833
2.269667109,-0.08977911773
2.269667109,-0.09250215888
2.317177911,0.02186556903
2.312426831,0.0184617676
2.312426831,0.01573872646
2.312426831,0.01301568532
2.312426831,0.01029264418
2.312426831,-0.03327601407
2.312426831,-0.03599905521
2.312426831,-0.03872209635
2.312426831,-0.04144513749
2.340933312,0.05862662442
2.340933312,0.05590358328
2.340933312,0.05318054214
2.340933312,0.050457501
2.340933312,0.04773445986
2.340933312,0.045692179
2.340933312,0.006888842753
2.340933312,0.004165801612
2.340933312,0.001442760472
2.340933312,-0.001280280669
2.340933312,-0.004003321809
2.340933312,-0.00672636295
2.340933312,-0.00944940409
2.326680071,-0.01149168495
2.326680071,-0.04484893892
2.369439793,0.07768791241
2.369439793,0.07496487126
2.369439793,0.07224183012
2.369439793,0.06951878898
2.369439793,0.06679574784
2.369439793,0.0640727067
2.369439793,0.06134966556
2.369439793,0.02254632931
2.369439793,0.01982328817
2.369439793,0.01710024703
2.369439793,0.01437720589
2.369439793,0.01165416475
2.369439793,0.008931123608
2.397946273,0.1103644061
2.397946273,0.107641365
2.397946273,0.1049183238
2.397946273,0.1021952827
2.397946273,0.05862662442
2.397946273,0.05590358328
2.397946273,0.05318054214
2.397946273,0.050457501
2.397946273,0.04773445986
2.397946273,0.04535179886
2.383693033,0.005527322182
2.426452754,0.1321487352
2.426452754,0.1294256941
2.426452754,0.1267026529
2.426452754,0.1239796118
2.426452754,0.1212565707
2.426452754,0.1185335295
2.426452754,0.1158104884
2.426452754,0.1130874472
2.426452754,0.07768791241
2.426452754,0.07496487126
2.426452754,0.07224183012
2.426452754,0.06951878898
2.426452754,0.06679574784
2.426452754,0.0640727067
2.426452754,0.06134966556
2.454959235,0.1607406672
